"local/unknown",2008-08-18T18:00:29+02:00,36,"xss csrf id rfe lfi sqli","test=%5C%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E"
"local/unknown",2008-08-18T18:00:32+02:00,36,"xss csrf id rfe lfi sqli","test=%5C%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E"
"local/unknown",2008-08-18T18:00:46+02:00,36,"xss csrf id rfe lfi sqli","test=%5C%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E"
"local/unknown",2008-08-18T18:27:34+02:00,36,"xss csrf id rfe lfi sqli","test=%5C%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E"
"local/unknown",2009-06-24T13:01:51+02:00,15,"xss csrf sqli id lfi","REQUEST.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E GET.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3F__wysiwyg%3D%253Ca%2520href%3D%2522http%3A%2F%2Fwww.foo.de%2F%3Fbar%2522%253Efoobar%253C%2Fa%253E","127.0.0.1"
"local/unknown",2009-06-24T13:04:46+02:00,15,"xss csrf sqli id lfi","REQUEST.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3F__wysiwyg%3D%253Ca%2520href%3D%2522http%3A%2F%2Fwww.foo.de%2F%3Fbar%2522%253Efoobar%253C%2Fa%253E","127.0.0.1"
"local/unknown",2009-06-24T13:05:48+02:00,15,"xss csrf sqli id lfi","REQUEST.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E GET.__wysiwyg=%3Ca%20href%3D%5C%22http%3A%2F%2Fwww.foo.de%2F%3Fbar%5C%22%3Efoobar%3C%2Fa%3E","%2Fphp-ids.org%2Ftrunk%2Fdocs%2Fexamples%2Fexample.php%3F__wysiwyg%3D%253Ca%2520href%3D%2522http%3A%2F%2Fwww.foo.de%2F%3Fbar%2522%253Efoobar%253C%2Fa%253E","127.0.0.1"
"%3A%3A1",2011-12-23T12:55:03+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529+GET.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529","%2Fphpids%2Fdocs%2Fexamples%2Fexample.php%3Fasdf%3D%2522%253E%253Cscript%253Eeval%28window.name%29","::1"
"%3A%3A1",2011-12-23T12:55:22+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529+GET.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529","%2Fphpids%2Fdocs%2Fexamples%2Fexample.php%3Fasdf%3D%2522%253E%253Cscript%253Eeval%28window.name%29","::1"
"%3A%3A1",2011-12-23T12:59:29+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529+GET.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529","%2Fphpids%2Fdocs%2Fexamples%2Fexample.php%3Fasdf%3D%2522%253E%253Cscript%253Eeval%28window.name%29","::1"
"127.0.0.1",2011-12-23T13:27:51+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.test%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529%253C%252Fscript%253E+GET.test%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529%253C%252Fscript%253E","%2Fphpids%2Fdocs%2Fexamples%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E","127.0.0.1"
"127.0.0.1",2011-12-23T13:29:36+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529+GET.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529","%2Fphpids%2Fdocs%2Fexamples%2Fexample.php%3Fasdf%3D%2522%253E%253Cscript%253Eeval%28window.name%29","127.0.0.1"
"127.0.0.1",2011-12-23T13:29:38+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529+GET.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529","%2Fphpids%2Fdocs%2Fexamples%2Fexample.php%3Fasdf%3D%2522%253E%253Cscript%253Eeval%28window.name%29","127.0.0.1"
"127.0.0.1",2011-12-23T13:29:39+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529+GET.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529","%2Fphpids%2Fdocs%2Fexamples%2Fexample.php%3Fasdf%3D%2522%253E%253Cscript%253Eeval%28window.name%29","127.0.0.1"
"127.0.0.1",2011-12-23T13:29:39+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529+GET.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529","%2Fphpids%2Fdocs%2Fexamples%2Fexample.php%3Fasdf%3D%2522%253E%253Cscript%253Eeval%28window.name%29","127.0.0.1"
"127.0.0.1",2011-12-23T13:29:40+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529+GET.asdf%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529","%2Fphpids%2Fdocs%2Fexamples%2Fexample.php%3Fasdf%3D%2522%253E%253Cscript%253Eeval%28window.name%29","127.0.0.1"
"127.0.0.1",2011-12-23T13:34:34+01:00,72,"xss csrf id rfe lfi sqli","REQUEST.test%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529%253C%252Fscript%253E+GET.test%3D%2522%253E%253Cscript%253Eeval%2528window.name%2529%253C%252Fscript%253E","%2Fwww%2Fexample.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E","127.0.0.1"
"127.0.0.1",2011-12-23T13:42:11+01:00,16,"xss csrf id rfe lfi","REQUEST.test%3D%253Cscript%253Eslert+GET.test%3D%253Cscript%253Eslert","%2Fwww%2Finfo.php%3Ftest%3D%253Cscript%253Eslert","127.0.0.1"
"127.0.0.1",2011-12-23T14:04:52+01:00,16,"xss csrf id rfe lfi","REQUEST.test%3D%253Cscript%253Eslert+GET.test%3D%253Cscript%253Eslert","%2Fwww%2Finfo.php%3Ftest%3D%253Cscript%253Eslert","127.0.0.1"
"127.0.0.1",2011-12-23T14:05:26+01:00,16,"xss csrf id rfe lfi","REQUEST.test%3D%253Cscript%253Eholamigos%2528%2529%253C+GET.test%3D%253Cscript%253Eholamigos%2528%2529%253C","%2Fwww%2Finfo.php%3Ftest%3D%253Cscript%253Eholamigos%28%29%253C","127.0.0.1"
"127.0.0.1",2011-12-23T15:34:32+01:00,30,"sqli id lfi","REQUEST.test%3D%2527select%252Afrom%2520users%253B+GET.test%3D%2527select%252Afrom%2520users%253B","%2Fwww%2Finfo.php%3Ftest%3D%27select%2Afrom%2520users%3B","127.0.0.1"
"127.0.0.1",2011-12-23T18:04:15+01:00,30,"sqli id lfi","REQUEST.parametro%3D%2527SELECT%2520%252A%2520from%2520user%253B+GET.parametro%3D%2527SELECT%2520%252A%2520from%2520user%253B","%2Fwww%2Finfo.php%3Fparametro%3D%27SELECT%2520%2A%2520from%2520user%3B","127.0.0.1"
"%3A%3A1",2011-12-26T10:40:49+01:00,30,"sqli id lfi","REQUEST.test%3D%2527SELECT%2520%252A%2520from%2520usert%253B+GET.test%3D%2527SELECT%2520%252A%2520from%2520usert%253B","%2Fwww%2Finfo.php%3Ftest%3D%27SELECT%2520%2A%2520from%2520usert%3B","::1"
"%3A%3A1",2011-12-26T10:41:35+01:00,30,"sqli id lfi","REQUEST.test%3D%2527SELECT%2520%252A%2520from%2520usert%253B+GET.test%3D%2527SELECT%2520%252A%2520from%2520usert%253B","%2Fwww%2Finfo.php%3Ftest%3D%27SELECT%2520%2A%2520from%2520usert%3B","::1"
